Level,item_number,reference_designator,Quantity
1,120-00001,"C16, C17",2
1,120-00002,"C2A, C2B, C2C, C2D, C2E, C2F, C2G, C2H, C2I, C2J, C2K, C2L, C3, C4, C6, C7, C8, C9",18
1,120-00007,C13,1
1,120-00027,"C1, C10, C12",3
1,120-00027,"C5, C21A, C21B, C21C, C21D, C21E, C21F, C21G, C21H, C21I, C21J, C21K, C21L",13
1,120-00036,C20,1
1,120-00037,C14,1
1,120-00038,C15,1
1,120-00039,C18,1
1,120-00040,C19,1
1,120-00042,C11,1
1,125-00005,J2,1
1,125-00013,"TP1, TP2, TP3, TP6, TP7, TP8, TP10A, TP10B, TP10C, TP10D, TP10E, TP10F, TP10G, TP10H, TP10I, TP10J, TP10K, TP10L, TP11A, TP11B, TP11C, TP11D, TP11E, TP11F, TP11G, TP11H, TP11I, TP11J, TP11K, TP11L",30
1,125-00039,J4,1
1,125-00040,J3,1
1,125-00054,P3,1
1,125-00082,P2,1
1,125-00088,"J1A, J1B, J1C, J1D, J1E, J1F, J1G, J1H, J1I, J1J, J1K, J1L",12
1,125-00110,"P1, P4",2
1,125-00121,J5,1
1,140-00002,D1,1
1,140-00011,"D2, D3, D4, D5",4
1,150-00031,U3,1
1,150-00067,U6,1
1,150-00069,U21,1
1,150-00070,U22,1
1,150-00071,U23,1
1,150-00076,U2,1
1,150-00090,U1,1
1,150-00100,"U4A, U4B, U4C, U4D, U4E, U4F, U4G, U4H, U4I, U4J, U4K, U4L",12
1,150-00101,U20,1
1,155-00014,L1,1
1,155-00015,L2,1
1,155-00016,L3,1
1,160-00001,"TP4, TP5, TP9, TP12, TP13, TP17, TP27, TP28, TP29",9
1,160-00005,"BB1, BB2, BB3, BB4, BB5, BB6",6
1,175-00024,Bare PCB,1
1,180-00033,R1,1
1,180-00043,"RN1, RN2, RN3",3
1,181-01002,"R3, R15, R17",3
1,181-01003,"R2, R9, R11, R18A, R18B, R18C, R18D, R18E, R18F, R18G, R18H, R18I, R18J, R18K, R18L, R34",16
1,181-01004,R12,1
1,181-01472,R33,1
1,181-01502,R14,1
1,181-02001,R13,1
1,181-02004,"R29, R35",2
1,181-02263,R37,1
1,181-03163,R32,1
1,181-03323,R30,1
1,181-04020,"R6, R7",2
1,181-04021,R31,1
1,181-04751,R5,1
1,181-04990,R16,1
1,181-04991,"R8, R10",2
1,181-05621,R39,1
1,181-06190,R38,1
1,181-07502,R36,1
1,181-09092,R40,1
1,181-R0160,"R4A, R4B, R4C, R4D, R4E, R4F, R4G, R4H, R4I, R4J, R4K, R4L",12
1,183-00001,"K1A, K1B, K1C, K1D, K1E, K1F, K1G, K1H, K1I, K1J, K1K, K1L",12
1,185-00005,"S1, S2",2
1,185-00010,S3,1
1,195-00002,"Q1A, Q1B, Q1C, Q1D, Q1E, Q1F, Q1G, Q1H, Q1I, Q1J, Q1K, Q1L, Q2A, Q2B, Q2C, Q2D, Q2E, Q2F, Q2G, Q2H, Q2I, Q2J, Q2K, Q2L",24
1,195-00004,Q3,1
1,810-00005,XU5,1
1,830-00010,U5,1
0,830-00022,none,1
